id,vendeur,client,age_client,produit,categorie,quantite,prix_paye
0,ALLAM Lamine,KAWMI Halima,64,P8,C9,197,8653056.976383395
1,TOUATI Abderahmane,GHAOUI Amine,21,P9,C10,259,1131284.4595110882
2,ALLAM Lamine,TEZEROT Meriem,31,P25,C26,283,6281604.480857439
3,MOHAMMEDI Asma,GHAOUI Amine,50,P15,C16,238,6261872.900350179
4,BADREDDINE Manel,KAWMI Halima,39,P12,C13,150,9242122.485739406
5,BADREDDINE Manel,ALLOUCHE Smail,55,P23,C24,345,7745336.938432826
6,BADREDDINE Manel,MEDANI Ayoub,23,P4,C5,210,1327839.264616283
7,AIT-AISSA Salim,KAWMI Halima,40,P15,C16,6,5331517.890634556
8,ALLAM Lamine,KAWMI Halima,42,P7,C8,183,820899.691996903
9,AIT-AISSA Salim,TILELI Selma,30,P19,C20,143,6693070.077870344
10,ALLAM Lamine,TEZEROT Meriem,22,P15,C16,293,557827.2305297762
11,AGOUILAL riadh,KAWMI Halima,20,P10,C11,396,1016289.8834679225
12,TAIR Karim,LAIHEM Mustapha,57,P16,C17,140,9730444.436231844
13,TAIR Karim,ALLOUCHE Smail,21,P19,C20,150,915643.2258318223
14,AIT-AISSA Salim,KAWMI Halima,20,P21,C22,234,4937627.903442178
15,AIT-AISSA Salim,MEDANI Ayoub,25,P24,C25,327,5724285.152414875
16,MOHAMMEDI Asma,MEDANI Ayoub,36,P30,C31,107,9383877.80834803
17,AIT-AISSA Salim,MEDANI Ayoub,47,P7,C8,45,2029258.733577231
18,AIT-AISSA Salim,KAWMI Halima,41,P28,C29,95,6606945.475224702
19,AGOUILAL riadh,TEZEROT Meriem,49,P22,C23,177,6400585.921395697
20,MOHAMMEDI Asma,LAIHEM Mustapha,39,P24,C25,240,8371008.073247717
21,LAIHEM Said,LAIHEM Mustapha,45,P15,C16,29,5521337.386557094
22,BOUDJELOUAH Issam,GHAOUI Amine,37,P8,C9,150,5721149.689977577
23,ALLAM Lamine,AGHA Miloud,55,P4,C5,108,3888298.8021891066
24,BOUDJELOUAH Issam,ALLOUCHE Smail,52,P22,C23,348,6322383.4838665575
25,TAIR Karim,ALLOUCHE Smail,54,P15,C16,132,5354631.310625992
26,AGOUILAL riadh,ARAD Omar,36,P24,C25,340,5771147.745652148
27,MOHAMMEDI Asma,MEDANI Ayoub,63,P29,C30,40,7239898.385219606
28,AIT-AISSA Salim,ARAD Omar,29,P15,C16,225,6107834.1642474895
29,BOUDJELOUAH Issam,AGHA Miloud,57,P19,C20,400,2980386.729236345
30,BADREDDINE Manel,AGHA Miloud,34,P22,C23,221,1560716.2071071176
31,BOUDJELOUAH Issam,GHAOUI Amine,33,P3,C4,87,9759786.772706155
32,BADREDDINE Manel,MEDANI Ayoub,59,P20,C21,178,127521.70283286489
33,AGOUILAL riadh,GHAOUI Amine,22,P24,C25,288,6703959.691754186
34,BADREDDINE Manel,MEDANI Ayoub,38,P5,C6,2,6796226.343398523
35,AIT-AISSA Salim,ARAD Omar,65,P16,C17,341,9885020.811001182
36,BADREDDINE Manel,TEZEROT Meriem,39,P13,C14,253,3490068.756283502
37,AGOUILAL riadh,ALLOUCHE Smail,59,P21,C22,277,9447468.617358707
38,BOUDJELOUAH Issam,AGHA Miloud,65,P30,C31,293,8479757.337807398
39,BOUDJELOUAH Issam,ARAD Omar,34,P3,C4,193,1633466.3298519778
40,TOUATI Abderahmane,GHAOUI Amine,50,P8,C9,297,5419680.096453714
41,MOHAMMEDI Asma,KAWMI Halima,32,P18,C19,96,7209682.923618359
42,MOHAMMEDI Asma,TILELI Selma,56,P30,C31,71,2566488.165119135
43,LAIHEM Said,LAIHEM Mustapha,25,P20,C21,38,3444944.696555915
44,ALLAM Lamine,AGHA Miloud,43,P4,C5,198,6624414.567580506
45,MOHAMMEDI Asma,TILELI Selma,25,P19,C20,297,5367368.897300592
46,BADREDDINE Manel,ARAD Omar,47,P5,C6,65,2766846.820649567
47,AIT-AISSA Salim,ALLOUCHE Smail,22,P1,C2,13,2552540.8043357953
48,TAIR Karim,KAWMI Halima,65,P29,C30,194,126485.01474515194
49,MOHAMMEDI Asma,TEZEROT Meriem,36,P5,C6,382,1747338.9732515032
50,ALLAM Lamine,TILELI Selma,35,P18,C19,92,5462264.517058407
51,MOHAMMEDI Asma,TEZEROT Meriem,40,P0,C1,349,7958122.919053386
52,ALLAM Lamine,LAIHEM Mustapha,27,P18,C19,317,3370732.91521518
53,LAIHEM Said,KAWMI Halima,24,P21,C22,290,5253782.1730466
54,AGOUILAL riadh,AGHA Miloud,37,P23,C24,250,3238163.263097443
55,AGOUILAL riadh,MEDANI Ayoub,41,P8,C9,125,7287760.729928552
56,AIT-AISSA Salim,KAWMI Halima,23,P18,C19,95,540205.132254992
57,BADREDDINE Manel,TEZEROT Meriem,57,P22,C23,75,3089523.1307023535
